,COD_Munic,TX_PIB,TX_PER,PIB_21,PER_21
4303,4128559,3.0194816305094463,3.658804248689984,341127.307,40663.64
4304,4128609,6.34585002970065,7.334256812406065,499747.382,70446.49
4305,4128625,3.7533091275262445,5.6023838352282525,113678.885,43223.91
4306,4128633,-2.053528982762737,-1.7006474854894371,99222.046,17958.74
4307,4128658,4.6918309187089005,4.512650332609535,189740.61,46837.97
4308,4128708,3.2127317147985,2.7159294274918757,498350.018,72445.13
4309,4128807,3.1491796539999397,3.8501888562330833,119645.665,21426.52
4310,4200051,-2.7514612982287634,-2.3206457562378766,75124.254,29646.51
4311,4200101,-3.992798005803533,-4.475324373745232,785840.164,43621.44
4312,4200200,-0.37465922668372675,-2.044435350571472,396094.195,35492.31
4313,4200309,1.8127474014849154,0.6553460897506136,232870.127,41807.92
4314,4200408,2.9339617214494407,2.6745377647206636,651063.746,90930.69
4315,4200507,-6.749681979892763,-7.385993949707209,137687.966,21040.34
4316,4200556,1.4289404334081934,1.7435260698739852,163063.567,69655.52
4317,4200606,-1.598522373394251,-3.279107474061088,199557.438,30026.7
4318,4200705,2.91517968078866,2.226109733687326,336432.123,33191.8
4319,4200754,1.3016927790375554,1.7309318793009176,78990.258,41248.18
4320,4200804,-3.1389915801453228,-1.7545348343066869,203784.403,37207.3
4321,4200903,-0.009360044587169991,1.0502067698588247,174544.038,37247.98
4322,4201000,2.950276269460356,5.181045139174978,231485.35,34127.28
4323,4201109,-0.8815384968778095,-0.9077271569665368,84555.896,26235.15
4324,4201208,3.6417194071439174,2.195806531431338,796471.469,91422.34
4325,4201257,-2.1602743921110834,-3.3838080960947314,442404.139,40398.52
4326,4201273,5.769387658685476,5.6080078611472235,284398.446,66635.06
4327,4201307,18.0369037178145,13.398849276645636,7487635.773,183116.55
4328,4201406,0.4173695930636656,-0.7443720853474889,2384838.04,34317.67
4329,4201505,2.1697632731167538,0.9360517206936037,272040.85,30763.41
4330,4201604,-0.011012328832321616,-0.13027869990361318,125938.629,35505.67
4331,4201653,5.853222060289359,5.983478913909335,203862.552,91500.25
4332,4201703,-1.0622625921933526,-1.7887176790563897,244940.887,30537.45
4333,4201802,-0.40597929141504285,-0.05571283751337752,125963.821,39623.72
4334,4201901,5.639804794572512,5.415570444326301,406892.883,71547.9
4335,4201950,1.510483745307445,-1.8634903751680865,221813.98,16094.47
4336,4202008,1.823876466955754,-1.1747409109985119,7357101.183,49301.41
4337,4202057,1.5305049956836014,-1.1729878535103544,254539.917,22583.61
4338,4202073,3.574236289429056,0.4430594860676429,216920.216,18802.13
4339,4202081,5.578181486464262,6.5505696640447475,102204.217,39039.04
4340,4202099,-0.3213496645907421,1.0406696541878813,52277.776,32170.94
4341,4202107,6.360184348739661,3.475039535400193,2372106.613,77674.67
